gridmet_id,fbfm40_code,evt_code,evc_code,evh_code,canopy_cover,fvt_code,fvc_code,fbfm40_group
fire_00205,91.0,7299.0,25.0,25.0,0.0,2905.0,25.0,nonburnable_or_other
fire_00206,121.0,7904.0,17.0,17.0,0.0,2917.0,17.0,grass_shrub
fire_00207,145.0,7110.0,237.0,216.0,0.0,2110.0,113.0,shrub
fire_00208,123.0,7113.0,139.0,114.0,35.0,2113.0,103.0,grass_shrub
fire_00209,102.0,9301.0,346.0,304.0,0.0,2270.0,124.0,grass
fire_00210,186.0,7980.0,141.0,110.0,45.0,2960.0,104.0,timber_litter
fire_00211,121.0,9328.0,232.0,207.0,0.0,2279.0,113.0,grass_shrub
fire_00212,144.0,7114.0,135.0,122.0,35.0,2114.0,103.0,shrub
fire_00213,121.0,9301.0,323.0,304.0,0.0,2270.0,122.0,grass_shrub
fire_00214,91.0,7296.0,22.0,22.0,0.0,2902.0,22.0,nonburnable_or_other
fire_00215,122.0,9337.0,218.0,208.0,0.0,2270.0,111.0,grass_shrub
fire_00216,102.0,9301.0,334.0,304.0,0.0,2270.0,123.0,grass
fire_00217,102.0,9301.0,342.0,303.0,0.0,2270.0,123.0,grass
fire_00218,122.0,9337.0,219.0,206.0,0.0,2270.0,111.0,grass_shrub
fire_00219,102.0,9301.0,331.0,303.0,0.0,2270.0,125.0,grass
fire_00220,144.0,7105.0,234.0,212.0,0.0,2105.0,113.0,shrub
fire_00221,101.0,7986.0,312.0,304.0,0.0,2966.0,121.0,grass
fire_00222,102.0,9301.0,342.0,302.0,0.0,2270.0,124.0,grass
fire_00223,144.0,7105.0,231.0,216.0,0.0,2105.0,113.0,shrub
fire_00224,122.0,7110.0,220.0,208.0,0.0,2110.0,112.0,grass_shrub
fire_00225,91.0,7299.0,25.0,25.0,0.0,2905.0,25.0,nonburnable_or_other
fire_00226,163.0,9302.0,131.0,127.0,35.0,2271.0,103.0,timber_understory
fire_00227,122.0,7110.0,224.0,212.0,0.0,2110.0,112.0,grass_shrub
fire_00228,102.0,9301.0,334.0,304.0,0.0,2270.0,123.0,grass
fire_00229,102.0,9301.0,348.0,304.0,0.0,2270.0,124.0,grass
fire_00230,122.0,7092.0,231.0,214.0,0.0,2092.0,113.0,grass_shrub
fire_00231,93.0,7988.0,68.0,68.0,0.0,2968.0,68.0,nonburnable_or_other
fire_00232,102.0,9301.0,332.0,303.0,0.0,2270.0,123.0,grass
fire_00233,102.0,9301.0,340.0,304.0,0.0,2270.0,124.0,grass
fire_00234,122.0,7092.0,222.0,209.0,0.0,2092.0,112.0,grass_shrub
fire_00235,121.0,7105.0,227.0,218.0,35.0,2114.0,103.0,grass_shrub
fire_00236,121.0,9301.0,329.0,304.0,0.0,2270.0,122.0,grass_shrub
fire_00237,122.0,7092.0,236.0,211.0,0.0,2092.0,113.0,grass_shrub
fire_00238,121.0,9301.0,326.0,304.0,0.0,2270.0,122.0,grass_shrub
fire_00239,186.0,7264.0,140.0,133.0,45.0,2264.0,104.0,timber_litter
fire_00240,122.0,7092.0,230.0,218.0,0.0,2092.0,113.0,grass_shrub
fire_00241,102.0,9301.0,362.0,304.0,0.0,2270.0,126.0,grass
fire_00242,91.0,7298.0,24.0,24.0,0.0,2904.0,24.0,nonburnable_or_other
fire_00243,121.0,7098.0,225.0,211.0,0.0,2098.0,113.0,grass_shrub
fire_00244,144.0,7080.0,233.0,207.0,0.0,2080.0,113.0,shrub
fire_00245,102.0,9301.0,340.0,303.0,0.0,2270.0,124.0,grass
fire_00246,102.0,7934.0,333.0,304.0,0.0,2911.0,123.0,grass
fire_00247,102.0,9301.0,349.0,304.0,0.0,2270.0,124.0,grass
fire_00248,102.0,7980.0,118.0,105.0,15.0,2960.0,101.0,grass
fire_00249,145.0,7105.0,244.0,219.0,0.0,2105.0,114.0,shrub
fire_00250,102.0,7129.0,339.0,303.0,0.0,2129.0,123.0,grass
fire_00251,122.0,7110.0,224.0,210.0,0.0,2110.0,112.0,grass_shrub
fire_00252,145.0,7110.0,242.0,222.0,0.0,2110.0,114.0,shrub
fire_00253,145.0,7110.0,241.0,218.0,0.0,2110.0,114.0,shrub
fire_00254,184.0,7105.0,233.0,218.0,45.0,2030.0,104.0,timber_litter
fire_00255,145.0,7105.0,240.0,223.0,0.0,2105.0,115.0,shrub
fire_00256,99.0,9213.0,100.0,100.0,0.0,2002.0,100.0,nonburnable_or_other
fire_00257,102.0,7131.0,373.0,303.0,0.0,2131.0,127.0,grass
fire_00258,122.0,9301.0,348.0,305.0,0.0,2092.0,111.0,grass_shrub
fire_00259,142.0,7118.0,125.0,118.0,25.0,2118.0,103.0,shrub
fire_00261,122.0,7265.0,137.0,136.0,35.0,2265.0,103.0,grass_shrub
fire_00262,91.0,7299.0,25.0,25.0,0.0,2905.0,25.0,nonburnable_or_other
fire_00263,122.0,9011.0,339.0,303.0,0.0,2225.0,123.0,grass_shrub
fire_00264,144.0,7114.0,133.0,132.0,35.0,2114.0,103.0,shrub
fire_00265,102.0,7129.0,335.0,304.0,0.0,2129.0,123.0,grass
fire_00266,102.0,7987.0,338.0,303.0,0.0,2967.0,123.0,grass
fire_00267,122.0,7092.0,231.0,212.0,0.0,2092.0,113.0,grass_shrub
fire_00268,122.0,9301.0,346.0,303.0,0.0,2092.0,114.0,grass_shrub
fire_00269,122.0,7105.0,250.0,214.0,0.0,2105.0,115.0,grass_shrub
fire_00270,165.0,7030.0,145.0,127.0,45.0,2030.0,104.0,timber_understory
fire_00271,122.0,7092.0,216.0,209.0,0.0,2092.0,111.0,grass_shrub
fire_00272,122.0,7029.0,148.0,120.0,45.0,2029.0,104.0,grass_shrub
fire_00273,183.0,7105.0,239.0,218.0,45.0,2915.0,15.0,timber_litter
fire_00274,145.0,7105.0,242.0,217.0,0.0,2105.0,114.0,shrub
fire_00275,91.0,7296.0,22.0,22.0,0.0,2902.0,22.0,nonburnable_or_other
fire_00276,91.0,7297.0,23.0,23.0,0.0,2903.0,23.0,nonburnable_or_other
fire_00277,122.0,7092.0,218.0,210.0,0.0,2092.0,111.0,grass_shrub
fire_00278,102.0,7129.0,338.0,304.0,0.0,2129.0,123.0,grass
fire_00279,91.0,7299.0,25.0,25.0,0.0,2905.0,25.0,nonburnable_or_other
fire_00280,102.0,9301.0,339.0,304.0,0.0,2270.0,123.0,grass
fire_00281,91.0,7298.0,24.0,24.0,0.0,2904.0,24.0,nonburnable_or_other
fire_00282,144.0,7114.0,132.0,116.0,35.0,2114.0,103.0,shrub
fire_00283,91.0,7296.0,22.0,22.0,0.0,2902.0,22.0,nonburnable_or_other
fire_00284,91.0,7299.0,25.0,25.0,0.0,2905.0,25.0,nonburnable_or_other
fire_00285,102.0,7924.0,340.0,303.0,0.0,2911.0,124.0,grass
fire_00286,102.0,7967.0,358.0,302.0,0.0,2967.0,125.0,grass
fire_00287,165.0,7030.0,151.0,136.0,55.0,2030.0,105.0,timber_understory
fire_00288,102.0,9301.0,343.0,304.0,0.0,2270.0,124.0,grass
fire_00289,102.0,7129.0,332.0,304.0,0.0,2129.0,123.0,grass
fire_00290,165.0,7114.0,144.0,115.0,45.0,2114.0,104.0,timber_understory
fire_00291,91.0,7299.0,25.0,25.0,0.0,2905.0,25.0,nonburnable_or_other
fire_00292,122.0,9337.0,221.0,216.0,0.0,2270.0,112.0,grass_shrub
fire_00293,145.0,7110.0,239.0,214.0,0.0,2110.0,113.0,shrub
fire_00294,102.0,9301.0,342.0,304.0,0.0,2270.0,124.0,grass
fire_00295,122.0,7662.0,347.0,304.0,0.0,2662.0,124.0,grass_shrub
fire_00296,102.0,9301.0,335.0,302.0,0.0,2270.0,123.0,grass
fire_00297,102.0,9301.0,343.0,302.0,0.0,2270.0,114.0,grass
fire_00298,145.0,7110.0,233.0,220.0,0.0,2110.0,113.0,shrub
fire_00299,91.0,7299.0,25.0,25.0,0.0,2905.0,25.0,nonburnable_or_other
fire_00300,102.0,9301.0,344.0,304.0,0.0,2270.0,124.0,grass
fire_00301,162.0,7265.0,141.0,136.0,45.0,2265.0,104.0,timber_understory
fire_00302,122.0,7261.0,156.0,126.0,55.0,2261.0,105.0,grass_shrub
fire_00303,165.0,7014.0,137.0,110.0,55.0,2014.0,105.0,timber_understory
fire_00304,122.0,7080.0,231.0,214.0,0.0,2080.0,113.0,grass_shrub
fire_00305,162.0,7043.0,146.0,115.0,35.0,2043.0,104.0,timber_understory
fire_00306,98.0,7292.0,11.0,11.0,0.0,11.0,11.0,nonburnable_or_other
fire_00307,91.0,7297.0,23.0,23.0,0.0,2903.0,23.0,nonburnable_or_other
fire_00308,102.0,7129.0,335.0,304.0,0.0,2129.0,123.0,grass
fire_00309,102.0,9301.0,335.0,303.0,0.0,2270.0,123.0,grass
fire_00310,145.0,7105.0,248.0,216.0,0.0,2105.0,114.0,shrub
fire_00311,122.0,9629.0,252.0,223.0,0.0,2152.0,115.0,grass_shrub
fire_00312,121.0,9301.0,326.0,304.0,0.0,2270.0,122.0,grass_shrub
fire_00313,122.0,7662.0,358.0,304.0,0.0,2662.0,125.0,grass_shrub
fire_00314,122.0,7028.0,129.0,109.0,25.0,2028.0,102.0,grass_shrub
fire_00315,102.0,9301.0,355.0,303.0,0.0,2270.0,125.0,grass
fire_00316,165.0,7030.0,168.0,125.0,65.0,2030.0,106.0,timber_understory
fire_00317,102.0,9301.0,339.0,303.0,0.0,2270.0,123.0,grass
fire_00318,122.0,9337.0,221.0,207.0,0.0,2270.0,112.0,grass_shrub
