County,incident_acres_burned,incident_longitude,incident_latitude,incident_type,Date
tuolumne,402.0,-120.45087,37.76617,,2014-06-04
tuolumne,269.0,-120.452,37.787,,2014-06-05
fresno,25.0,-119.241493,36.742747,,2014-06-11
fresno,40.0,-119.525506,36.991825,,2014-06-09
solano,70.0,38.453,121.999,,2014-06-12
mariposa,130.0,-120.197,37.7103,,2014-06-10
kern,3895.0,-118.555527,35.70683,,2014-06-13
tehama,225.0,-122.345078,40.009827,,2014-06-13
calaveras,120.0,38.178241,120.679019,,2014-06-20
calaveras,85.0,-120.66,38.058,,2014-06-22
napa,4300.0,-122.454,38.664,,2014-07-01
lake,4300.0,-122.454,38.664,,2014-07-01
el dorado,30.0,-120.703238,38.608336,,2014-07-09
shasta,12661.0,-122.750788,40.4314,,2014-07-11
yolo,6488.0,-122.104,38.512,,2014-07-04
modoc,1469.0,-120.904,41.489,,2014-07-03
modoc,1651.0,-120.79,41.89,,2014-07-01
trinity,15.0,-123.24,40.41,,2014-07-01
san diego,217.0,-116.576454,33.078948,,2014-07-03
contra costa,80.0,-121.5118,37.5359,,2014-07-11
shasta,75.0,-121.3415,40.5719,,2014-07-05
san luis obispo,47.0,-121.0226,35.8218,,2014-07-07
nevada,38.0,-121.2687,39.1871,,2014-07-07
shasta,143.0,-122.2215,40.6569,,2014-07-09
kern,1680.0,-118.15,35.642,,2014-07-11
butte,72.0,-121.6129,39.4664,,2014-07-14
amador,4240.0,-120.7819,38.5691,Wildfire,2014-07-25
el dorado,4240.0,-120.7819,38.5691,Wildfire,2014-07-25
shasta,39736.0,-121.368,40.901,,2014-07-30
modoc,13153.0,-121.2144,41.1336,,2014-07-30
siskiyou,35302.0,-122.345,42.048,,2014-07-30
shasta,32416.0,-121.562,40.72,,2014-07-31
shasta,6258.0,-122.805,41.141,,2014-07-30
siskiyou,5503.0,-122.127,41.682,,2014-07-31
shasta,25.0,29.24,40.0,,2014-08-29
madera,10.0,18.4,37.0,,2014-08-26
madera,612.0,-119.6581,37.3433,,2014-08-18
modoc,101.0,-121.266,41.507,,2014-08-12
siskiyou,0.0,-123.374,41.796,,2014-08-11
san diego,20.0,-116.89516,32.59154,,2014-08-16
