County,Date,Year,Month,Day,incident_acres_burned,log_acres_burned,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F),No_Drought,D0,D1,D2,D3,D4,Drought_Score,Drought_D3_D4,Any_Drought,Temp_Range,Avg_Temp,Is_Fire_Season,Season,Fire_Impact_Per_Capita,Max_Air_Temp_mean_7d,Max_Air_Temp_max_7d,Min_Air_Temp_mean_7d,Min_Air_Temp_min_7d,Precip_sum_7d,Precip_max_7d,Avg_Wind_Speed_mean_7d,Avg_Wind_Speed_max_7d,Max_Rel_Hum_mean_7d,Max_Rel_Hum_min_7d,Sol_Rad_mean_7d,Avg_Vap_Pres_mean_7d,ETo_sum_7d,Avg_Soil_Temp_mean_7d,Wind_Run_sum_7d,Population,Density,Land Area (mi)
santa barbara,2013-05-27,2013,5,27,1984.0,7.59337419312129,0.24,0.0,611.0,11.8,83.5,50.6,93.0,7.3,174.9,70.2,0.0,100.0,100.0,77.85,0.0,0.0,277.85,0.0,100.0,32.9,67.05,1,Spring,0.004617185518234857,75.22857142857143,90.2,40.028571428571425,32.8,0.01,0.01,5.3428571428571425,6.0,93.71428571428571,89.0,662.7142857142857,10.099999999999998,1.57,71.75714285714285,896.1,429699.0,157.1686174103877,2734.0
los angeles,2013-05-28,2013,5,28,149.0,5.0106352940962555,0.14,0.0,465.0,15.3,74.3,57.9,85.0,2.7,65.9,68.4,0.0,100.0,100.0,29.18,0.0,0.0,229.18,0.0,100.0,16.4,66.1,1,Spring,1.4996917579859845e-05,75.58571428571429,83.0,55.028571428571425,52.2,0.0,0.0,2.7142857142857144,3.0,84.28571428571429,81.0,571.2857142857143,14.01428571428571,1.27,68.41428571428573,458.30000000000007,9935375.0,2447.136699507389,4060.0
santa barbara,2013-05-28,2013,5,28,170.0,5.14166355650266,0.24,0.0,646.0,13.4,80.6,49.9,95.0,7.8,186.6,70.6,0.0,100.0,100.0,77.85,0.0,0.0,277.85,0.0,100.0,30.699999999999996,65.25,1,Spring,0.0003956257752519787,74.27142857142857,83.5,41.65714285714285,32.8,0.01,0.01,5.7,7.3,93.71428571428571,89.0,655.7142857142857,10.342857142857143,1.5399999999999998,71.28571428571429,955.9,429699.0,157.1686174103877,2734.0
los angeles,2013-05-30,2013,5,30,30274.0,10.318077568421293,0.2,0.0,611.5,29.6,81.9,58.3,86.0,2.7,65.3,69.5,0.0,100.0,100.0,29.18,0.0,0.0,229.18,0.0,100.0,23.60000000000001,70.1,1,Spring,0.003047091830957563,75.24285714285715,81.5,54.18571428571429,52.2,0.0,0.0,2.6714285714285713,2.9,84.57142857142857,81.0,561.5714285714286,13.885714285714284,1.2400000000000002,68.28571428571429,450.90000000000003,9935375.0,2447.136699507389,4060.0
san joaquin,2013-05-30,2013,5,30,303.0,5.717027701406222,0.27,0.0,716.0,10.8,82.9,49.6,87.0,6.2,149.9,67.9,0.0,100.0,100.0,0.0,0.0,0.0,200.0,0.0,100.0,33.300000000000004,66.25,1,Spring,0.00043310896478381,76.45714285714287,80.7,50.48571428571428,41.8,0.0,0.0,7.814285714285715,9.3,84.42857142857143,72.0,635.7142857142857,11.428571428571429,1.6300000000000003,67.01428571428572,1309.6000000000001,699593.0,502.58117816091954,1392.0
san luis obispo,2013-06-01,2013,6,1,500.0,6.2166061010848646,0.28,0.0,701.0,9.0,95.2,53.2,71.0,4.0,94.9,65.9,0.0,100.0,100.0,92.17,0.0,0.0,292.17,0.0,100.0,42.0,74.2,1,Summer,0.0018237525532535746,73.37142857142858,86.1,47.285714285714285,39.5,0.0,0.0,4.014285714285715,4.6,86.85714285714286,77.0,693.5714285714286,10.642857142857142,1.51,64.45714285714286,670.2,274160.0,83.05362011511663,3301.0
tuolumne,2013-06-02,2013,6,2,100.0,4.61512051684126,0.27,0.0,718.0,10.8,91.0,55.3,67.0,3.0,71.0,71.3,0.0,100.0,100.0,62.75,0.0,0.0,262.75,0.0,100.0,35.7,73.15,1,Summer,0.00184430386750521,76.78571428571429,91.0,48.371428571428574,42.6,0.11000000000000011,0.07,3.414285714285714,4.0,86.0,57.0,633.2857142857143,10.657142857142858,1.4500000000000002,67.97142857142856,570.2,54221.0,24.41287708239532,2221.0
butte,2013-06-03,2013,6,3,298.0,5.700443573390687,0.27,0.0,707.0,16.9,98.7,57.2,88.0,3.4,82.5,73.8,0.0,100.0,100.0,0.0,0.0,0.0,200.0,0.0,100.0,41.5,77.95,1,Summer,0.0013492160511434379,84.25714285714285,98.1,54.957142857142856,48.8,0.09,0.09,3.5857142857142854,5.7,83.71428571428571,80.0,633.0,13.27142857142857,1.54,71.57142857142857,601.8,220869.0,135.00550122249388,1636.0
merced,2013-06-04,2013,6,4,124.0,4.8283137373023015,0.24,0.0,676.0,12.2,89.2,50.1,84.0,5.1,123.4,82.0,0.0,100.0,100.0,99.97,0.0,0.0,299.97,0.0,100.0,39.1,69.65,1,Summer,0.000475338007490407,89.88571428571429,97.7,50.528571428571425,42.6,0.0,0.0,6.285714285714286,8.3,79.14285714285714,73.0,699.0,10.242857142857144,1.6199999999999999,79.14285714285714,1056.5,260867.0,134.6062951496388,1938.0
lake,2013-06-05,2013,6,5,30.0,3.4339872044851463,0.25,0.0,745.0,14.1,86.6,51.9,87.0,4.2,100.5,69.4,0.0,100.0,100.0,0.0,0.0,0.0,200.0,0.0,100.0,34.699999999999996,69.25,1,Summer,0.00046908715639365793,82.10000000000001,88.8,47.22857142857142,41.3,0.0,0.0,5.299999999999999,6.2,83.28571428571429,74.0,784.2857142857143,11.528571428571427,1.8800000000000001,66.91428571428571,890.6999999999999,63954.0,50.9593625498008,1255.0
alameda,2013-06-08,2013,6,8,240.0,5.484796933490655,0.23,0.0,662.0,15.3,83.1,57.2,85.0,3.6,86.4,70.6,0.0,100.0,100.0,0.0,0.0,0.0,200.0,0.0,100.0,25.89999999999999,70.15,1,Summer,0.00015446361223454784,75.75714285714287,87.4,53.47142857142857,51.0,0.0,0.0,4.328571428571428,5.2,89.85714285714286,86.0,638.7142857142857,13.714285714285714,1.46,68.68571428571428,728.5,1553764.0,2108.2279511533243,737.0
