gridmet_id,UniqueId,Name,StartedDateOnly,Latitude,Longitude,AcresBurned
fire_00097,69c7b8cc-061e-4ca6-b5e8-83c6ae9d8a25,Pilot Fire,2016-08-07,34.28771,-117.27338,8110.0
fire_00098,28b9dc5f-f9c0-41fb-81d6-8db562122f00,Kugelman Fire,2016-08-09,36.09974,-120.51057,45.0
fire_00099,ef4185e8-9b3a-421f-9fae-a0b954b0b3c0,Knoxville Fire,2016-08-09,38.68403,-122.26015,36.0
fire_00100,346c59b1-375e-4d42-876a-d97b769c939f,Mineral Fire,2016-08-08,36.09974,-120.51057,7050.0
fire_00101,ea5193a1-69bc-4684-bfcd-235c17d36756,Blue Cut Fire,2016-08-16,34.30372,-117.49342,36274.0
fire_00102,93995926-26b0-4158-9f93-fec263f40b47,Mountain Fire,2016-08-09,40.61213,-122.47091,35.0
fire_00103,861bfbd3-ce1c-46bd-a32b-2848b7399119,Summit Fire,2016-08-12,40.9878,-123.77832,21.0
fire_00104,040d03d0-fbdd-438c-8174-f81e4a1bba57,Chimney Fire,2016-08-13,35.70595,-120.98316,46235.0
fire_00105,a0950d5e-6f35-4023-bb60-6737146ba7bd,Clayton Fire,2016-08-13,38.89741,-122.60664,3929.0
fire_00106,e247e423-6171-4184-9dca-b373de703885,Cedar Fire,2016-08-16,35.7506,-118.5678,29322.0
fire_00107,bc2fd9c2-da5c-4cd7-bbec-9daf2143a196,Stafford Fire,2016-08-11,40.4572,-124.05804,23.0
fire_00108,2d2aa30d-5c3f-4f46-97eb-54b63bec7f3a,Boys Fire,2016-09-11,38.558,-121.1309,40.0
fire_00109,63643257-f082-4928-bf0e-77a0417a4613,Sunny Fire,2016-09-03,36.84479,-119.34487,158.0
fire_00110,e935ecb3-5eba-43f8-ae02-624b3d5bc03a,Oak Fire,2016-09-01,37.11831,-121.69784,25.0
fire_00111,822c934f-11be-48a9-8e60-f3f6802ef24d,Beale Fire,2016-08-18,36.16965,-121.38775,389.0
fire_00112,b44c3b1e-b243-455e-9ca9-9a1b5570e003,Mina Fire,2016-08-30,39.8748511,-123.4267011,36.0
fire_00113,fa457abb-66d2-4f82-80fd-452e824e871f,Havilah Fire,2016-08-28,35.4976,-118.5097,304.0
fire_00114,85683fd7-b507-4ec7-8bbd-fb7033a42665,Gap Fire,2016-08-27,41.851,-123.118,33867.0
fire_00115,86166c24-3a85-42e3-a53a-ebb1d935fb8a,Bird Fire,2016-08-20,37.62215,-121.36665,147.0
fire_00116,da72b0c2-835d-42a5-8fa8-4de5442610cc,Tully Fire,2016-08-22,41.28486,-123.82268,599.0
fire_00117,1243f711-c29f-4bc3-a7e7-c705a6fc40f2,Willard Fire,2016-09-11,40.3915,-120.7845,2575.0
fire_00118,c55cc099-43f6-4a55-81b4-59ee03618511,Santos Fire,2016-08-26,39.79547,-121.71662,88.0
fire_00119,db833182-22df-44cc-ba10-0901e74222bc,Willow Fire,2016-08-28,38.1874,-120.6381,450.0
fire_00120,954fb899-decb-461b-a0dd-76442e3370d3,Tule Fire,2016-08-22,36.1648,-118.73906,395.0
fire_00121,a2a6199c-704a-4826-a51b-23e6ee123349,Grade Fire,2016-08-24,41.7813,-122.611,710.0
fire_00122,97772dc4-7fde-4412-982c-974b3316e22b,Howard Fire,2016-09-11,41.4657,-120.9066,380.0
fire_00123,2656ad63-b3e1-467f-9982-0229fd31c0f5,Range Fire,2016-08-26,35.2013,-118.7212,600.0
fire_00124,1780f987-76f9-4a82-81bd-6cb914758eec,Mockingbird Fire,2016-08-30,39.1408865,-122.9148951,20.0
fire_00125,ed16bf52-f886-4384-b841-2e755234aa29,Moffett Fire,2016-09-12,41.6314,-122.7933,32.0
fire_00126,69e1a36d-21ab-4feb-b31c-dbfac4bf62d1,Old Fire,2016-09-16,39.8851,-121.6998,30.0
fire_00127,060ef833-2d3f-47d4-a1d4-146d1b9a5928,Hog Fire,2016-09-13,40.30594,-122.1295,321.0
fire_00128,f66ae0d0-837d-4ea9-a7ed-6a78d9bde940,Old Fire,2016-09-13,37.75972,-120.029626,150.0
fire_00129,1f8b3267-c3bd-43f5-9733-2b30c97d45ee,Auburn Fire,2016-09-17,39.20427,-121.05948,47.0
fire_00130,821c040d-a17c-4934-990f-ca7d441a303a,Owens River Fire,2016-09-17,37.75985,-118.95309,5443.0
fire_00131,92c20948-6ff6-4a2c-b13f-32c75e71b16c,Soup Complex,2016-09-17,41.2649,-120.3178,2652.0
fire_00132,f6afb8c4-32dc-4e6d-8d30-e6b7ccd4a62f,Canyon Fire,2016-09-17,34.63445,-120.54421,12518.0
fire_00133,686e1300-65d3-4e07-8a88-e5952418649b,Washington Fire,2016-09-22,34.75134,-120.55297,215.0
fire_00134,b4940174-75d0-4f5e-b505-4a66c17a9157,Bangor Fire,2016-09-22,39.4403,-121.42647,130.0
fire_00135,f669c502-b400-4ad9-ae95-bfd9c31f903c,Butte Fire,2016-09-20,39.188321,-121.78003,300.0
fire_00136,0bf08653-1441-4e73-b24b-1296afb12b45,Bell Fire,2016-09-23,38.5212,-120.8416,45.0
fire_00137,3a4871dc-2299-4934-8a31-b92780fe31a3,Marshes Fire,2016-09-26,37.79635,-120.32484,1080.0
fire_00138,2e8eb057-1d9a-41a7-ab9f-9b85ce3374c4,Newmark Fire,2016-09-23,36.6543,-119.5327,70.0
fire_00139,8a4c92b3-c1aa-41e0-aaed-999d73f0a418,Cow Fire,2016-09-25,40.0,-121.93923,100.0
