id,lon,lat,start,end
fire_01262,-121.17197,38.40329,2020-06-29,2020-07-28
fire_01263,-117.034461,33.934137,2020-06-30,2020-07-29
fire_01264,-117.889503,34.17363,2020-06-30,2020-07-29
fire_01265,-118.7933,35.14357,2020-06-30,2020-07-29
fire_01266,-116.9617,33.99139,2020-07-01,2020-07-30
fire_01267,-121.6415,40.34659,2020-07-02,2020-07-31
fire_01268,-118.59699,34.51853,2020-07-02,2020-07-31
fire_01269,-120.47346,35.43128,2020-07-02,2020-07-31
fire_01270,-121.103299,38.686478,2020-07-03,2020-08-01
fire_01271,-116.641846,33.924086,2020-07-03,2020-08-01
fire_01272,-120.44811,40.36764,2020-07-03,2020-08-01
fire_01273,-122.48525,39.31313,2020-07-03,2020-08-01
fire_01274,-118.21608,34.04447,2020-07-03,2020-08-01
fire_01275,-121.38178,39.11307,2020-07-03,2020-08-01
fire_01276,-118.49731,34.3428,2020-07-04,2020-08-02
fire_01277,-118.53361,35.43044,2020-07-04,2020-08-02
fire_01278,-119.2439,36.90933,2020-07-05,2020-08-03
fire_01279,-120.40457,35.61521,2020-07-05,2020-08-03
fire_01280,-118.92967,34.93929,2020-07-07,2020-08-05
fire_01281,-123.262437,39.82454,2020-07-11,2020-08-09
fire_01282,-121.318472,38.81111,2020-07-11,2020-08-09
fire_01283,-120.549595,40.590714,2020-07-12,2020-08-10
fire_01284,-119.444977,34.962524,2020-07-13,2020-08-11
fire_01285,-118.452,34.679,2020-07-13,2020-08-11
fire_01286,-119.987565,35.308259,2020-07-13,2020-08-11
fire_01287,-121.172572,38.474502,2020-07-14,2020-08-12
fire_01288,-117.910498,34.160265,2020-07-14,2020-08-12
fire_01289,-121.633994,39.647686,2020-07-15,2020-08-13
fire_01290,-120.143473,39.702438,2020-07-15,2020-08-13
fire_01291,-120.856731,35.472114,2020-07-16,2020-08-14
fire_01292,-120.427342,36.09876,2020-07-16,2020-08-14
fire_01293,-120.801074,35.519723,2020-07-17,2020-08-15
fire_01294,-122.427358,39.52452,2020-07-17,2020-08-15
fire_01295,-121.62161,36.60239,2020-07-17,2020-08-15
fire_01296,-122.673,39.776,2020-07-17,2020-08-15
fire_01297,-121.100352,39.29241,2020-07-18,2020-08-16
fire_01298,-122.5012461,39.555943,2020-07-18,2020-08-16
fire_01299,-118.758965,34.438759,2020-07-18,2020-08-16
fire_01300,-120.876546,38.840068,2020-07-18,2020-08-16
fire_01301,-122.22275,37.17162,2020-07-17,2020-08-15
fire_01302,-121.30435,37.439437,2020-07-17,2020-08-15
fire_01303,-121.68181,36.4463,2020-07-19,2020-08-17
fire_01304,-123.013667,39.276,2020-07-19,2020-08-17
fire_01305,-120.763258,38.027921,2020-07-19,2020-08-17
